      Start         | gemeldet |        Ende         | gemeldet | Dauer
22.12.2016 19:30:01 |   rac4   | 22.12.2016 19:36:01 |   rac4   | 360 Sekunden
23.12.2016 03:39:01 |   rac3   | 23.12.2016 03:42:01 |   rac4   | 180 Sekunden
29.12.2016 19:30:01 |   rac4   | 29.12.2016 19:36:01 |   rac4   | 360 Sekunden
01.01.2017 01:48:01 |   rac4   | 01.01.2017 01:51:01 |   rac3   | 180 Sekunden
01.01.2017 03:03:01 |   rac3   | 01.01.2017 03:06:01 |   rac4   | 180 Sekunden
10.01.2017 19:30:01 |   rac4   | 10.01.2017 19:36:01 |   rac4   | 360 Sekunden
12.01.2017 19:30:01 |   rac4   | 12.01.2017 19:36:01 |   rac4   | 360 Sekunden
17.01.2017 04:30:01 |   rac4   | 17.01.2017 04:36:01 |   rac4   | 360 Sekunden
17.01.2017 08:18:01 |   rac4   | 17.01.2017 08:21:01 |   rac3   | 180 Sekunden
18.01.2017 14:09:01 |   rac3   | 18.01.2017 14:15:01 |   rac3   | 360 Sekunden
21.01.2017 12:21:01 |   rac3   | 21.01.2017 12:24:01 |   rac4   | 180 Sekunden
26.01.2017 10:09:01 |   rac3   | 26.01.2017 10:15:01 |   rac3   | 360 Sekunden
31.01.2017 10:33:01 |   rac3   | 31.01.2017 10:39:01 |   rac3   | 360 Sekunden
12.02.2017 14:09:01 |   rac3   | 12.02.2017 14:15:01 |   rac3   | 360 Sekunden
24.02.2017 15:03:01 |   rac3   | 24.02.2017 15:06:01 |   rac4   | 180 Sekunden
28.02.2017 10:33:01 |   rac3   | 28.02.2017 10:45:01 |   rac3   | 720 Sekunden
01.03.2017 01:21:01 |   rac3   | 01.03.2017 01:24:02 |   rac4   | 181 Sekunden
01.03.2017 02:48:01 |   rac4   | 01.03.2017 02:51:01 |   rac3   | 180 Sekunden
01.03.2017 03:09:01 |   rac3   | 01.03.2017 03:15:01 |   rac3   | 360 Sekunden
01.03.2017 21:51:01 |   rac3   | 01.03.2017 21:57:01 |   rac3   | 360 Sekunden
02.03.2017 12:21:01 |   rac3   | 02.03.2017 12:24:01 |   rac4   | 180 Sekunden
08.03.2017 04:09:01 |   rac3   | 08.03.2017 04:15:01 |   rac3   | 360 Sekunden
08.03.2017 21:51:01 |   rac3   | 08.03.2017 21:57:01 |   rac3   | 360 Sekunden
09.03.2017 14:09:01 |   rac3   | 09.03.2017 14:21:01 |   rac3   | 720 Sekunden
09.03.2017 21:54:01 |   rac4   | 09.03.2017 21:57:01 |   rac3   | 180 Sekunden
14.03.2017 21:51:01 |   rac3   | 14.03.2017 21:57:01 |   rac3   | 360 Sekunden
15.03.2017 21:54:01 |   rac4   | 15.03.2017 21:57:01 |   rac3   | 180 Sekunden
21.03.2017 09:06:01 |   rac4   | 21.03.2017 09:18:01 |   rac4   | 720 Sekunden
21.03.2017 09:45:01 |   rac3   | 21.03.2017 09:54:01 |   rac4   | 540 Sekunden
23.03.2017 17:51:01 |   rac3   | 23.03.2017 17:57:01 |   rac3   | 360 Sekunden
24.03.2017 01:54:01 |   rac4   | 24.03.2017 01:57:01 |   rac3   | 180 Sekunden
06.04.2017 10:51:01 |   rac3   | 06.04.2017 10:54:01 |   rac4   | 180 Sekunden
19.04.2017 18:51:01 |   rac3   | 19.04.2017 18:57:01 |   rac3   | 360 Sekunden
19.04.2017 22:51:01 |   rac3   | 19.04.2017 22:57:01 |   rac3   | 360 Sekunden
